data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
<<<<<<< HEAD
2020-04-26T17:00:00,ITA,21372,2009,23381,82722,106103,256,2324,64928,26644,197675,1757659,1210639,dc-IT-0013,dc-EN-0013
=======
2020-05-12T17:00:00,ITA,12865,952,13817,67449,81266,-1222,1402,109039,30911,221216,2673655,1741903,dc-IT-0027,dc-EN-0027
>>>>>>> c986b32ec52c99a6105af6224b4d5ead6d94c71e
